"","Sex","Financial_Risk_Willingness","Income_from_Wages","Owns_Treasury_Bond_Funds","Owns_Stocks","Owns_Stock_Funds","Owns_Combination_Funds","TMV_Treasury_Bond_Funds","TMV_Stocks","TMV_Stock_Funds","TMV_Combination_Funds","TMV_Investments","Percent_Treasury_Bond_Funds","Percent_Combination_Funds","Percent_Stock_Funds","Percent_Stocks","Income_Bracket","Risk_Aversion"
"1","Male",3,107000,"No","Yes","No","No",0,10000,0,0,10000,0,0,0,100,"$91,150 - $190,149","Somewhat Risk Averse"
"2","Male",3,107000,"No","Yes","No","No",0,10000,0,0,10000,0,0,0,100,"$91,150 - $190,149","Somewhat Risk Averse"
"3","Male",3,107000,"No","Yes","No","No",0,10000,0,0,10000,0,0,0,100,"$91,150 - $190,149","Somewhat Risk Averse"
"4","Male",3,107000,"No","Yes","No","No",0,10000,0,0,10000,0,0,0,100,"$91,150 - $190,149","Somewhat Risk Averse"
"5","Male",3,107000,"No","Yes","No","No",0,10000,0,0,10000,0,0,0,100,"$91,150 - $190,149","Somewhat Risk Averse"
"6","Male",4,60000,"No","No","Yes","No",0,0,55000,0,55000,0,0,100,0,"$37,650 - $91,149","Somewhat Risk Averse"
"7","Male",4,60000,"No","No","Yes","No",0,0,55000,0,55000,0,0,100,0,"$37,650 - $91,149","Somewhat Risk Averse"
"8","Male",4,60000,"No","No","Yes","No",0,0,55000,0,55000,0,0,100,0,"$37,650 - $91,149","Somewhat Risk Averse"
"9","Male",4,60000,"No","No","Yes","No",0,0,55000,0,55000,0,0,100,0,"$37,650 - $91,149","Somewhat Risk Averse"
"10","Male",4,60000,"No","No","Yes","No",0,0,55000,0,55000,0,0,100,0,"$37,650 - $91,149","Somewhat Risk Averse"
"11","Male",8,112000,"No","Yes","Yes","No",0,425000,450000,0,875000,0,0,51.4285714285714,48.5714285714286,"$91,150 - $190,149","Somewhat Risk Tolerant"
"12","Male",8,112000,"No","Yes","Yes","No",0,425000,450000,0,875000,0,0,51.4285714285714,48.5714285714286,"$91,150 - $190,149","Somewhat Risk Tolerant"
"13","Male",8,112000,"No","Yes","Yes","No",0,425000,450000,0,875000,0,0,51.4285714285714,48.5714285714286,"$91,150 - $190,149","Somewhat Risk Tolerant"
"14","Male",8,112000,"No","Yes","Yes","No",0,425000,450000,0,875000,0,0,51.4285714285714,48.5714285714286,"$91,150 - $190,149","Somewhat Risk Tolerant"
"15","Male",8,112000,"No","Yes","Yes","No",0,425000,450000,0,875000,0,0,51.4285714285714,48.5714285714286,"$91,150 - $190,149","Somewhat Risk Tolerant"
"16","Male",5,325000,"No","Yes","No","No",0,1000000,0,0,1000000,0,0,0,100,"$190,150 - $413,349","Risk Neutral"
"17","Male",5,416000,"No","Yes","No","No",0,1500000,0,0,1500000,0,0,0,100,"$415,050 or More","Risk Neutral"
"18","Male",5,541000,"No","Yes","No","No",0,1000000,0,0,1000000,0,0,0,100,"$415,050 or More","Risk Neutral"
"19","Male",5,336000,"No","Yes","No","No",0,1000000,0,0,1000000,0,0,0,100,"$190,150 - $413,349","Risk Neutral"
"20","Male",5,390000,"No","Yes","No","No",0,1000000,0,0,1000000,0,0,0,100,"$190,150 - $413,349","Risk Neutral"
"21","Male",7,73000,"No","Yes","Yes","No",0,1950000,4350000,0,6300000,0,0,69.0476190476191,30.952380952381,"$37,650 - $91,149","Risk Neutral"
"22","Male",7,73000,"No","Yes","Yes","No",0,1950000,3350000,0,5300000,0,0,63.2075471698113,36.7924528301887,"$37,650 - $91,149","Risk Neutral"
"23","Male",7,73000,"No","Yes","Yes","No",0,1950000,3950000,0,5900000,0,0,66.9491525423729,33.0508474576271,"$37,650 - $91,149","Risk Neutral"
"24","Male",7,73000,"No","Yes","Yes","No",0,1950000,3600000,0,5550000,0,0,64.8648648648649,35.1351351351351,"$37,650 - $91,149","Risk Neutral"
"25","Male",7,73000,"No","Yes","Yes","No",0,1950000,4850000,0,6800000,0,0,71.3235294117647,28.6764705882353,"$37,650 - $91,149","Risk Neutral"
"26","Male",6,0,"No","Yes","Yes","No",0,42000,188000,0,230000,0,0,81.7391304347826,18.2608695652174,"$0 - $9,274","Risk Neutral"
"27","Male",6,0,"No","Yes","Yes","No",0,41000,188000,0,229000,0,0,82.0960698689956,17.9039301310044,"$0 - $9,274","Risk Neutral"
"28","Male",6,0,"No","Yes","Yes","No",0,41000,189000,0,230000,0,0,82.1739130434783,17.8260869565217,"$0 - $9,274","Risk Neutral"
"29","Male",6,0,"No","Yes","Yes","No",0,41000,188000,0,229000,0,0,82.0960698689956,17.9039301310044,"$0 - $9,274","Risk Neutral"
"30","Male",6,0,"No","Yes","Yes","No",0,41000,188000,0,229000,0,0,82.0960698689956,17.9039301310044,"$0 - $9,274","Risk Neutral"
"31","Male",5,135000,"No","No","Yes","No",0,0,14000000,0,14000000,0,0,100,0,"$91,150 - $190,149","Risk Neutral"
"32","Male",5,159000,"No","No","Yes","No",0,0,14000000,0,14000000,0,0,100,0,"$91,150 - $190,149","Risk Neutral"
"33","Male",5,114000,"No","No","Yes","No",0,0,14000000,0,14000000,0,0,100,0,"$91,150 - $190,149","Risk Neutral"
"34","Male",5,208000,"No","No","Yes","No",0,0,14000000,0,14000000,0,0,100,0,"$190,150 - $413,349","Risk Neutral"
"35","Male",5,237000,"No","No","Yes","No",0,0,14000000,0,14000000,0,0,100,0,"$190,150 - $413,349","Risk Neutral"
"36","Male",5,0,"No","Yes","No","No",0,375000,0,0,375000,0,0,0,100,"$0 - $9,274","Risk Neutral"
"37","Male",5,0,"No","Yes","No","No",0,375000,0,0,375000,0,0,0,100,"$0 - $9,274","Risk Neutral"
"38","Male",5,0,"No","Yes","No","No",0,375000,0,0,375000,0,0,0,100,"$0 - $9,274","Risk Neutral"
"39","Male",5,0,"No","Yes","No","No",0,375000,0,0,375000,0,0,0,100,"$0 - $9,274","Risk Neutral"
"40","Male",5,0,"No","Yes","No","No",0,375000,0,0,375000,0,0,0,100,"$0 - $9,274","Risk Neutral"
"41","Male",5,150000,"No","Yes","No","No",0,12000,0,0,12000,0,0,0,100,"$91,150 - $190,149","Risk Neutral"
"42","Male",5,150000,"No","Yes","No","No",0,36000,0,0,36000,0,0,0,100,"$91,150 - $190,149","Risk Neutral"
"43","Male",5,150000,"No","Yes","No","No",0,15000,0,0,15000,0,0,0,100,"$91,150 - $190,149","Risk Neutral"
"44","Male",5,150000,"No","Yes","No","No",0,28000,0,0,28000,0,0,0,100,"$91,150 - $190,149","Risk Neutral"
"45","Male",5,150000,"No","Yes","No","No",0,50000,0,0,50000,0,0,0,100,"$91,150 - $190,149","Risk Neutral"
"46","Male",9,2400000,"No","Yes","No","No",0,4300000,0,0,4300000,0,0,0,100,"$415,050 or More","Somewhat Risk Tolerant"
"47","Male",9,2400000,"No","Yes","No","No",0,4300000,0,0,4300000,0,0,0,100,"$415,050 or More","Somewhat Risk Tolerant"
"48","Male",9,2400000,"No","Yes","No","No",0,4300000,0,0,4300000,0,0,0,100,"$415,050 or More","Somewhat Risk Tolerant"
"49","Male",9,2400000,"No","Yes","No","No",0,4300000,0,0,4300000,0,0,0,100,"$415,050 or More","Somewhat Risk Tolerant"
"50","Male",9,2400000,"No","Yes","No","No",0,4300000,0,0,4300000,0,0,0,100,"$415,050 or More","Somewhat Risk Tolerant"
"51","Male",6,0,"No","Yes","No","No",0,103000,0,0,103000,0,0,0,100,"$0 - $9,274","Risk Neutral"
"52","Male",6,0,"No","Yes","No","No",0,45000,0,0,45000,0,0,0,100,"$0 - $9,274","Risk Neutral"
"53","Male",6,0,"No","Yes","No","No",0,55000,0,0,55000,0,0,0,100,"$0 - $9,274","Risk Neutral"
"54","Male",6,0,"No","Yes","No","No",0,8800,0,0,8800,0,0,0,100,"$0 - $9,274","Risk Neutral"
"55","Male",6,0,"No","Yes","No","No",0,34000,0,0,34000,0,0,0,100,"$0 - $9,274","Risk Neutral"
"56","Male",7,400000,"No","Yes","Yes","Yes",0,1200000,2500000,1100000,4800000,0,22.9166666666667,52.0833333333333,25,"$190,150 - $413,349","Risk Neutral"
"57","Male",7,400000,"No","Yes","Yes","Yes",0,1200000,2500000,1100000,4800000,0,22.9166666666667,52.0833333333333,25,"$190,150 - $413,349","Risk Neutral"
"58","Male",7,400000,"No","Yes","Yes","Yes",0,1200000,2500000,1100000,4800000,0,22.9166666666667,52.0833333333333,25,"$190,150 - $413,349","Risk Neutral"
"59","Male",7,400000,"No","Yes","Yes","Yes",0,1200000,2500000,1100000,4800000,0,22.9166666666667,52.0833333333333,25,"$190,150 - $413,349","Risk Neutral"
"60","Male",7,400000,"No","Yes","Yes","Yes",0,1200000,2500000,1100000,4800000,0,22.9166666666667,52.0833333333333,25,"$190,150 - $413,349","Risk Neutral"
"61","Male",4,185000,"No","Yes","No","No",0,5400,0,0,5400,0,0,0,100,"$91,150 - $190,149","Somewhat Risk Averse"
"62","Male",4,185000,"No","Yes","No","No",0,5400,0,0,5400,0,0,0,100,"$91,150 - $190,149","Somewhat Risk Averse"
"63","Male",4,185000,"No","Yes","No","No",0,5400,0,0,5400,0,0,0,100,"$91,150 - $190,149","Somewhat Risk Averse"
"64","Male",4,185000,"No","Yes","No","No",0,5400,0,0,5400,0,0,0,100,"$91,150 - $190,149","Somewhat Risk Averse"
"65","Male",4,185000,"No","Yes","No","No",0,5400,0,0,5400,0,0,0,100,"$91,150 - $190,149","Somewhat Risk Averse"
"66","Male",7,700000,"Yes","Yes","Yes","No",5000,1500000,175000,0,1680000,0.297619047619048,0,10.4166666666667,89.2857142857143,"$415,050 or More","Risk Neutral"
"67","Male",7,700000,"Yes","Yes","Yes","No",5000,1500000,175000,0,1680000,0.297619047619048,0,10.4166666666667,89.2857142857143,"$415,050 or More","Risk Neutral"
"68","Male",7,700000,"Yes","Yes","Yes","No",5000,1500000,175000,0,1680000,0.297619047619048,0,10.4166666666667,89.2857142857143,"$415,050 or More","Risk Neutral"
"69","Male",7,700000,"Yes","Yes","Yes","No",5000,1500000,175000,0,1680000,0.297619047619048,0,10.4166666666667,89.2857142857143,"$415,050 or More","Risk Neutral"
"70","Male",7,700000,"Yes","Yes","Yes","No",5000,1500000,175000,0,1680000,0.297619047619048,0,10.4166666666667,89.2857142857143,"$415,050 or More","Risk Neutral"
"71","Male",6,110000,"No","Yes","No","No",0,150000,0,0,150000,0,0,0,100,"$91,150 - $190,149","Risk Neutral"
"72","Male",6,110000,"No","Yes","No","No",0,150000,0,0,150000,0,0,0,100,"$91,150 - $190,149","Risk Neutral"
"73","Male",6,110000,"No","Yes","No","No",0,150000,0,0,150000,0,0,0,100,"$91,150 - $190,149","Risk Neutral"
"74","Male",6,110000,"No","Yes","No","No",0,150000,0,0,150000,0,0,0,100,"$91,150 - $190,149","Risk Neutral"
"75","Male",6,110000,"No","Yes","No","No",0,150000,0,0,150000,0,0,0,100,"$91,150 - $190,149","Risk Neutral"
"76","Male",-1,0,"No","Yes","No","No",0,17000,0,0,17000,0,0,0,100,"$0 - $9,274","Very Risk Averse"
"77","Male",-1,0,"No","Yes","No","No",0,17000,0,0,17000,0,0,0,100,"$0 - $9,274","Very Risk Averse"
