"","Sex","Investment_Type","Risk_Aversion","Owns","Number_of_Responses","Percentage"
"1","Female","Combination_Funds","Very Risk Averse","No",162,92.5714285714286
"2","Female","Combination_Funds","Very Risk Averse","Yes",13,7.42857142857143
"3","Female","Combination_Funds","Somewhat Risk Averse","No",309,93.6363636363636
"4","Female","Combination_Funds","Somewhat Risk Averse","Yes",21,6.36363636363636
"5","Female","Combination_Funds","Risk Neutral","No",826,93.9704209328783
"6","Female","Combination_Funds","Risk Neutral","Yes",53,6.02957906712173
"7","Female","Combination_Funds","Somewhat Risk Tolerant","No",171,91.9354838709677
"8","Female","Combination_Funds","Somewhat Risk Tolerant","Yes",15,8.06451612903226
"9","Female","Combination_Funds","Very Risk Tolerant","No",47,100
"10","Female","Stock_Funds","Very Risk Averse","No",97,55.4285714285714
"11","Female","Stock_Funds","Very Risk Averse","Yes",78,44.5714285714286
"12","Female","Stock_Funds","Somewhat Risk Averse","No",169,51.2121212121212
"13","Female","Stock_Funds","Somewhat Risk Averse","Yes",161,48.7878787878788
"14","Female","Stock_Funds","Risk Neutral","No",430,48.9192263936291
"15","Female","Stock_Funds","Risk Neutral","Yes",449,51.0807736063709
"16","Female","Stock_Funds","Somewhat Risk Tolerant","No",65,34.9462365591398
"17","Female","Stock_Funds","Somewhat Risk Tolerant","Yes",121,65.0537634408602
"18","Female","Stock_Funds","Very Risk Tolerant","No",15,31.9148936170213
"19","Female","Stock_Funds","Very Risk Tolerant","Yes",32,68.0851063829787
"20","Female","Stocks","Very Risk Averse","No",60,34.2857142857143
"21","Female","Stocks","Very Risk Averse","Yes",115,65.7142857142857
"22","Female","Stocks","Somewhat Risk Averse","No",104,31.5151515151515
"23","Female","Stocks","Somewhat Risk Averse","Yes",226,68.4848484848485
"24","Female","Stocks","Risk Neutral","No",258,29.3515358361775
"25","Female","Stocks","Risk Neutral","Yes",621,70.6484641638225
"26","Female","Stocks","Somewhat Risk Tolerant","No",63,33.8709677419355
"27","Female","Stocks","Somewhat Risk Tolerant","Yes",123,66.1290322580645
